iter	Passed	Remaining
0	1	127
1	2	116
2	3	110
3	4	100
4	5	98
5	6	97
6	7	95
7	8	93
8	9	91
9	9	89
10	10	88
11	11	86
12	12	85
13	13	83
14	14	81
15	15	79
16	16	78
17	16	76
18	17	75
19	18	73
20	19	72
21	19	70
22	20	68
23	21	67
24	22	66
25	22	65
26	23	63
27	24	62
28	24	61
29	25	59
30	26	58
31	26	57
32	27	55
33	28	54
34	28	53
35	29	51
36	29	50
37	30	49
38	30	48
39	31	47
40	31	46
41	32	44
42	32	43
43	33	42
44	33	41
45	34	40
46	34	39
47	35	37
48	35	36
49	35	35
50	36	34
51	36	34
52	37	33
53	37	32
54	37	31
55	38	30
56	38	29
57	39	28
58	39	27
59	39	26
60	40	25
61	40	24
62	41	24
63	41	23
64	41	22
65	42	21
66	42	20
67	42	20
68	43	19
69	43	18
70	43	17
71	44	17
72	44	16
73	44	15
74	45	15
75	45	14
76	45	13
77	46	12
78	46	12
79	46	11
80	46	11
81	47	10
82	47	9
83	47	9
84	48	8
85	48	7
86	48	7
87	48	6
88	49	6
89	49	5
90	49	4
91	49	4
92	50	3
93	50	3
94	50	2
95	50	2
96	51	1
97	51	1
98	51	0
99	51	0
