iter	Passed	Remaining
0	50	50915
1	52	26051
2	53	17715
3	54	13535
4	55	11018
5	56	9327
6	57	8133
7	58	7228
8	59	6522
9	60	5961
10	62	5610
11	64	5348
12	65	4999
13	66	4695
14	67	4439
15	68	4212
16	69	4015
17	70	3836
18	71	3675
19	72	3528
20	72	3394
21	73	3276
22	74	3164
23	75	3060
24	76	2969
25	76	2878
26	77	2797
27	78	2717
28	79	2645
29	79	2582
30	80	2518
31	81	2461
32	82	2404
33	82	2350
34	83	2300
35	84	2250
36	84	2202
37	85	2157
38	85	2113
39	86	2071
40	86	2032
41	87	1994
42	87	1957
43	88	1922
44	88	1888
45	89	1856
46	90	1824
47	90	1795
48	91	1766
49	91	1738
50	91	1711
51	92	1685
52	92	1659
53	93	1634
54	93	1611
55	94	1588
56	94	1565
57	95	1543
58	95	1522
59	95	1501
60	96	1480
61	96	1460
62	96	1441
63	97	1422
64	97	1404
65	98	1387
66	98	1369
67	98	1352
68	99	1336
69	99	1320
70	99	1304
71	100	1289
72	100	1274
73	100	1259
74	100	1245
75	101	1231
76	101	1217
77	101	1203
78	102	1190
79	102	1177
80	102	1164
81	102	1152
82	103	1138
83	103	1126
84	103	1114
85	103	1103
86	104	1092
87	104	1081
88	104	1070
89	104	1060
90	105	1050
91	105	1039
92	105	1029
93	105	1019
94	106	1010
95	106	1000
96	106	991
97	106	982
98	106	973
99	107	964
100	107	955
101	107	947
102	107	938
103	107	930
104	108	922
105	108	914
106	108	906
107	108	898
108	109	891
109	109	883
110	109	876
111	109	869
112	109	862
113	110	855
114	110	848
115	110	842
116	110	835
117	110	828
118	111	822
119	111	815
120	111	809
121	111	803
122	111	797
123	112	791
124	112	785
125	112	780
126	112	774
127	112	768
128	113	763
129	113	757
130	113	752
131	113	747
132	113	742
133	114	737
134	114	732
135	114	727
136	114	722
137	114	717
138	115	712
139	115	708
140	115	703
141	115	698
142	115	693
143	115	689
144	116	685
145	116	680
146	116	676
147	116	672
148	116	668
149	117	664
150	117	660
151	117	656
152	117	652
153	118	648
154	118	644
155	118	640
156	118	636
157	118	633
158	119	629
159	119	625
160	119	621
161	119	618
162	119	615
163	119	611
164	120	608
165	120	604
166	120	601
167	120	598
168	121	595
169	121	591
170	121	588
171	121	585
172	121	582
173	122	579
174	122	576
175	122	573
176	122	570
177	122	567
178	123	564
179	123	561
180	123	558
181	123	556
182	123	553
183	124	550
184	124	547
185	124	545
186	124	542
187	124	539
188	125	537
189	125	534
190	125	531
191	125	529
192	125	526
193	126	524
194	126	521
195	126	519
196	126	516
197	127	514
198	127	512
199	127	509
200	127	507
201	127	505
202	128	502
203	128	500
204	128	498
205	128	495
206	128	493
207	129	491
208	129	489
209	129	486
210	129	484
211	129	482
212	130	480
213	130	478
214	130	476
215	130	474
216	130	472
217	131	470
218	131	467
219	131	465
220	131	463
221	131	461
222	132	459
223	132	458
224	132	456
225	132	454
226	132	452
227	133	450
228	133	448
229	133	446
230	133	444
231	133	443
232	134	441
233	134	439
234	134	437
235	134	436
236	134	434
237	135	432
238	135	430
239	135	429
240	135	427
241	136	425
242	136	424
243	136	422
244	136	421
245	136	419
246	137	417
247	137	416
248	137	414
249	137	413
250	137	411
251	138	409
252	138	408
253	138	406
254	138	405
255	138	403
256	139	402
257	139	400
258	139	399
259	139	397
260	140	396
261	140	394
262	140	393
263	140	392
264	140	390
265	141	389
266	141	387
267	141	386
268	141	384
269	141	383
270	142	382
271	142	380
272	142	379
273	142	378
274	142	376
275	143	375
276	143	373
277	143	372
278	143	371
279	143	370
280	144	368
281	144	367
282	144	366
283	144	364
284	144	363
285	145	362
286	145	360
287	145	359
288	145	358
289	145	357
290	146	355
291	146	354
292	146	353
293	146	352
294	146	351
295	147	349
296	147	348
297	147	347
298	147	346
299	147	345
300	148	344
301	148	342
302	148	341
303	148	340
304	148	339
305	149	338
306	149	337
307	149	336
308	149	335
309	150	333
310	150	332
311	150	331
312	150	330
313	150	329
314	151	328
315	151	327
316	151	326
317	151	325
318	151	324
319	152	323
320	152	322
321	152	321
322	152	320
323	152	319
324	153	318
325	153	317
326	153	316
327	153	315
328	154	314
329	154	313
330	154	312
331	154	311
332	154	310
333	155	309
334	155	308
335	155	307
336	155	306
337	155	305
338	156	304
339	156	303
340	156	302
341	156	301
342	156	300
343	157	299
344	157	299
345	157	298
346	158	297
347	158	296
348	158	295
349	158	294
350	158	293
351	159	292
352	159	291
353	159	290
354	159	289
355	159	289
356	159	288
357	160	287
358	160	286
359	160	285
360	160	284
361	161	283
362	161	282
363	161	282
364	161	281
365	161	280
366	162	279
367	162	278
368	162	277
369	162	277
370	162	276
371	163	275
372	163	274
373	163	273
374	163	272
375	163	272
376	164	271
377	164	270
378	164	269
379	164	268
380	165	268
381	165	267
382	165	266
383	165	265
384	165	264
385	166	264
386	166	263
387	166	262
388	166	261
389	166	260
390	167	260
391	167	259
392	167	258
393	167	257
394	167	257
395	168	256
396	168	255
397	168	254
398	168	254
399	168	253
400	169	252
401	169	251
402	169	251
403	169	250
404	169	249
405	170	248
406	170	248
407	170	247
408	170	246
409	170	245
410	171	245
411	171	244
412	171	243
413	171	243
414	171	242
415	172	241
416	172	240
417	172	240
418	172	239
419	172	238
420	173	238
421	173	237
422	173	236
423	173	236
424	173	235
425	174	234
426	174	233
427	174	233
428	174	232
429	174	231
430	175	231
431	175	230
432	175	229
433	175	229
434	175	228
435	176	227
436	176	227
437	176	226
438	176	225
439	177	225
440	177	224
441	177	224
442	177	223
443	177	222
444	178	222
445	178	221
446	178	220
447	178	220
448	178	219
449	179	218
450	179	218
451	179	217
452	179	217
453	179	216
454	180	215
455	180	215
456	180	214
457	180	213
458	181	213
459	181	212
460	181	212
461	181	211
462	181	210
463	182	210
464	182	209
465	182	209
466	182	208
467	182	207
468	183	207
469	183	206
470	183	206
471	183	205
472	183	204
473	184	204
474	184	203
475	184	203
476	184	202
477	184	201
478	185	201
479	185	200
480	185	200
481	185	199
482	186	199
483	186	198
484	186	198
485	186	197
486	186	196
487	187	196
488	187	195
489	187	195
490	187	194
491	187	194
492	188	193
493	188	192
494	188	192
495	188	191
496	188	191
497	189	190
498	189	190
499	189	189
500	189	189
501	189	188
502	190	187
503	190	187
504	190	186
505	190	186
506	190	185
507	191	185
508	191	184
509	191	184
510	191	183
511	192	183
512	192	182
513	192	181
514	192	181
515	192	180
516	193	180
517	193	179
518	193	179
519	193	178
520	193	178
521	194	177
522	194	177
523	194	176
524	194	176
525	195	175
526	195	175
527	195	174
528	195	174
529	195	173
530	196	173
531	196	172
532	196	172
533	196	171
534	196	171
535	197	170
536	197	170
537	197	169
538	197	169
539	197	168
540	198	168
541	198	167
542	198	167
543	198	166
544	198	166
545	199	165
546	199	165
547	199	164
548	199	164
549	200	163
550	200	163
551	200	162
552	200	162
553	200	161
554	201	161
555	201	160
556	201	160
557	201	159
558	201	159
559	202	158
560	202	158
561	202	157
562	202	157
563	202	156
564	203	156
565	203	155
566	203	155
567	203	154
568	203	154
569	204	153
570	204	153
571	204	153
572	204	152
573	204	152
574	205	151
575	205	151
576	205	150
577	205	150
578	205	149
579	206	149
580	206	148
581	206	148
582	206	147
583	207	147
584	207	147
585	207	146
586	207	146
587	207	145
588	208	145
589	208	144
590	208	144
591	208	143
592	208	143
593	209	142
594	209	142
595	209	141
596	209	141
597	209	141
598	210	140
599	210	140
600	210	139
601	210	139
602	210	138
603	211	138
604	211	137
605	211	137
606	211	137
607	211	136
608	212	136
609	212	135
610	212	135
611	212	134
612	212	134
613	213	134
614	213	133
615	213	133
616	213	132
617	214	132
618	214	131
619	214	131
620	214	130
621	214	130
622	215	130
623	215	129
624	215	129
625	215	128
626	215	128
627	216	127
628	216	127
629	216	127
630	216	126
631	216	126
632	217	125
633	217	125
634	217	125
635	217	124
636	218	124
637	218	123
638	218	123
639	218	123
640	218	122
641	219	122
642	219	121
643	219	121
644	219	120
645	220	120
646	220	120
647	220	119
648	220	119
649	220	118
650	221	118
651	221	118
652	221	117
653	221	117
654	222	116
655	222	116
656	222	116
657	222	115
658	222	115
659	223	114
660	223	114
661	224	114
662	224	114
663	224	113
664	224	113
665	225	112
666	225	112
667	225	112
668	225	111
669	225	111
670	226	110
671	226	110
672	226	110
673	226	109
674	226	109
675	227	108
676	227	108
677	227	108
678	227	107
679	228	107
680	228	106
681	228	106
682	228	106
683	228	105
684	229	105
685	229	104
686	229	104
687	229	104
688	229	103
689	230	103
690	230	103
691	230	102
692	230	102
693	230	101
